id,name,type1,type2,height,weight,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_legendary
828,Thievul,dark,None,12,199,70,58,58,87,92,90,455,False
829,Gossifleur,grass,None,4,22,40,40,60,40,60,10,250,False
830,Eldegoss,grass,None,5,25,60,50,90,80,120,60,460,False
831,Wooloo,normal,None,6,60,42,40,55,40,45,48,270,False
832,Dubwool,normal,None,13,430,72,80,100,60,90,88,490,False
833,Chewtle,water,None,3,85,50,64,50,38,38,44,284,False
834,Drednaw,water,rock,10,1155,90,115,90,48,68,74,485,False
835,Yamper,electric,None,3,135,59,45,50,40,50,26,270,False
836,Boltund,electric,None,10,340,69,90,60,90,60,121,490,False
837,Rolycoly,rock,None,3,120,30,40,50,40,50,30,240,False
838,Carkol,rock,fire,11,780,80,60,90,60,70,50,410,False
839,Coalossal,rock,fire,28,3105,110,80,120,80,90,30,510,False
840,Applin,grass,dragon,2,5,40,40,80,40,40,20,260,False
841,Flapple,grass,dragon,3,10,70,110,80,95,60,70,485,False
842,Appletun,grass,dragon,4,130,110,85,80,100,80,30,485,False
843,Silicobra,ground,None,22,76,52,57,75,35,50,46,315,False
844,Sandaconda,ground,None,38,655,72,107,125,65,70,71,510,False
845,Cramorant,flying,water,8,180,70,85,55,85,95,85,475,False
846,Arrokuda,water,None,5,10,41,63,40,40,30,66,280,False
847,Barraskewda,water,None,13,300,61,123,60,60,50,136,490,False
848,Toxel,electric,poison,4,110,40,38,35,54,35,40,242,False
849,Toxtricity-Amped,electric,poison,16,400,75,98,70,114,70,75,502,False
850,Sizzlipede,fire,bug,7,10,50,65,45,50,50,45,305,False
851,Centiskorch,fire,bug,30,1200,100,115,65,90,90,65,525,False
852,Clobbopus,fighting,None,6,40,50,68,60,50,50,32,310,False
853,Grapploct,fighting,None,16,390,80,118,90,70,80,42,480,False
854,Sinistea,ghost,None,1,2,40,45,45,74,54,50,308,False
855,Polteageist,ghost,None,2,4,60,65,65,134,114,70,508,False
856,Hatenna,psychic,None,4,34,42,30,45,56,53,39,265,False
857,Hattrem,psychic,None,6,48,57,40,65,86,73,49,370,False
858,Hatterene,psychic,fairy,21,51,57,90,95,136,103,29,510,False
859,Impidimp,dark,fairy,4,55,45,45,30,55,40,50,265,False
860,Morgrem,dark,fairy,8,125,65,60,45,75,55,70,370,False
861,Grimmsnarl,dark,fairy,15,610,95,120,65,95,75,60,510,False
862,Obstagoon,dark,normal,16,460,93,90,101,60,81,95,520,False
863,Perrserker,steel,None,8,280,70,110,100,50,60,50,440,False
864,Cursola,ghost,None,10,4,60,95,50,145,130,30,510,False
865,Sirfetchd,fighting,None,8,1170,62,135,95,68,82,65,507,False
866,Mr-Rime,ice,psychic,15,582,80,85,75,110,100,70,520,False
867,Runerigus,ground,ghost,16,666,58,95,145,50,105,30,483,False
868,Milcery,fairy,None,2,3,45,40,40,50,61,34,270,False
869,Alcremie,fairy,None,3,5,65,60,75,110,121,64,495,False
870,Falinks,fighting,None,30,620,65,100,100,70,60,75,470,False
871,Pincurchin,electric,None,3,10,48,101,95,91,85,15,435,False
872,Snom,ice,bug,3,38,30,25,35,45,30,20,185,False
873,Frosmoth,ice,bug,13,420,70,65,60,125,90,65,475,False
874,Stonjourner,rock,None,25,5200,100,125,135,20,20,70,470,False
875,Eiscue-Ice,ice,None,14,890,75,80,110,65,90,50,470,False
876,Indeedee-Male,psychic,normal,9,280,60,65,55,105,95,95,475,False
877,Morpeko-Full-Belly,electric,dark,3,30,58,95,58,70,58,97,436,False
878,Cufant,steel,None,12,1000,72,80,49,40,49,40,330,False
879,Copperajah,steel,None,30,6500,122,130,69,80,69,30,500,False
880,Dracozolt,electric,dragon,18,1900,90,100,90,80,70,75,505,False
881,Arctozolt,electric,ice,23,1500,90,100,90,90,80,55,505,False
882,Dracovish,water,dragon,23,2150,90,90,100,70,80,75,505,False
883,Arctovish,water,ice,20,1750,90,90,100,80,90,55,505,False
884,Duraludon,steel,dragon,18,400,70,95,115,120,50,85,535,False
885,Dreepy,dragon,ghost,5,20,28,60,30,40,30,82,270,False
886,Drakloak,dragon,ghost,14,110,68,80,50,60,50,102,410,False
887,Dragapult,dragon,ghost,30,500,88,120,75,100,75,142,600,False
888,Zacian,fairy,None,28,1100,92,120,115,80,115,138,660,True
889,Zamazenta,fighting,None,29,2100,92,120,115,80,115,138,660,True
890,Eternatus,poison,dragon,200,9500,140,85,95,145,95,130,690,True
891,Kubfu,fighting,None,6,120,60,90,60,53,50,72,385,True
892,Urshifu-Single-Strike,fighting,dark,19,1050,100,130,100,63,60,97,550,True
893,Zarude,dark,grass,18,700,105,120,105,70,95,105,600,True
894,Regieleki,electric,None,12,1450,80,100,50,100,50,200,580,True
895,Regidrago,dragon,None,21,2000,200,100,50,100,50,80,580,True
896,Glastrier,ice,None,22,8000,100,145,130,65,110,30,580,True
897,Spectrier,ghost,None,20,445,100,65,60,145,80,130,580,True
898,Calyrex,psychic,grass,11,77,100,80,80,80,80,80,500,True
899,Wyrdeer,normal,psychic,18,951,103,105,72,105,75,65,525,False
900,Kleavor,bug,rock,18,890,70,135,95,45,70,85,500,False
901,Ursaluna,ground,normal,24,2900,130,140,105,45,80,50,550,False
902,Basculegion-Male,water,ghost,30,1100,120,112,65,80,75,78,530,False
903,Sneasler,fighting,poison,13,430,80,130,60,40,80,120,510,False
904,Overqwil,dark,poison,25,605,85,115,95,65,65,85,510,False
905,Enamorus-Incarnate,fairy,flying,16,480,74,115,70,135,80,106,580,True
906,Sprigatito,grass,None,4,41,40,61,54,45,45,65,310,False
907,Floragato,grass,None,9,122,61,80,63,60,63,83,410,False
908,Meowscarada,grass,dark,15,312,76,110,70,81,70,123,530,False
909,Fuecoco,fire,None,4,98,67,45,59,63,40,36,310,False
910,Crocalor,fire,None,10,307,81,55,78,90,58,49,411,False
911,Skeledirge,fire,ghost,16,3265,104,75,100,110,75,66,530,False
912,Quaxly,water,None,5,61,55,65,45,50,45,50,310,False
913,Quaxwell,water,None,12,215,70,85,65,65,60,65,410,False
914,Quaquaval,water,fighting,18,619,85,120,80,85,75,85,530,False
915,Lechonk,normal,None,5,102,54,45,40,35,45,35,254,False
916,Oinkologne-Male,normal,None,10,1200,110,100,75,59,80,65,489,False
917,Tarountula,bug,None,3,40,35,41,45,29,40,20,210,False
918,Spidops,bug,None,10,165,60,79,92,52,86,35,404,False
919,Nymble,bug,None,2,10,33,46,40,21,25,45,210,False
920,Lokix,bug,dark,10,175,71,102,78,52,55,92,450,False
921,Pawmi,electric,None,3,25,45,50,20,40,25,60,240,False
922,Pawmo,electric,fighting,4,65,60,75,40,50,40,85,350,False
923,Pawmot,electric,fighting,9,410,70,115,70,70,60,105,490,False
924,Tandemaus,normal,None,3,18,50,50,45,40,45,75,305,False
925,Maushold-Family-Of-Four,normal,None,3,23,74,75,70,65,75,111,470,False
926,Fidough,fairy,None,3,109,37,55,70,30,55,65,312,False
927,Dachsbun,fairy,None,5,149,57,80,115,50,80,95,477,False
928,Smoliv,grass,normal,3,65,41,35,45,58,51,30,260,False
929,Dolliv,grass,normal,6,119,52,53,60,78,78,33,354,False
930,Arboliva,grass,normal,14,482,78,69,90,125,109,39,510,False
931,Squawkabilly-Green-Plumage,normal,flying,6,24,82,96,51,45,51,92,417,False
932,Nacli,rock,None,4,160,55,55,75,35,35,25,280,False
933,Naclstack,rock,None,6,1050,60,60,100,35,65,35,355,False
934,Garganacl,rock,None,23,2400,100,100,130,45,90,35,500,False
935,Charcadet,fire,None,6,105,40,50,40,50,40,35,255,False
936,Armarouge,fire,psychic,15,850,85,60,100,125,80,75,525,False
937,Ceruledge,fire,ghost,16,620,75,125,80,60,100,85,525,False
938,Tadbulb,electric,None,3,4,61,31,41,59,35,45,272,False
939,Bellibolt,electric,None,12,1130,109,64,91,103,83,45,495,False
940,Wattrel,electric,flying,4,36,40,40,35,55,40,70,280,False
941,Kilowattrel,electric,flying,14,386,70,70,60,105,60,125,490,False
942,Maschiff,dark,None,5,160,60,78,60,40,51,51,340,False
943,Mabosstiff,dark,None,11,610,80,120,90,60,70,85,505,False
944,Shroodle,poison,normal,2,7,40,65,35,40,35,75,290,False
945,Grafaiai,poison,normal,7,272,63,95,65,80,72,110,485,False
946,Bramblin,grass,ghost,6,6,40,65,30,45,35,60,275,False
947,Brambleghast,grass,ghost,12,60,55,115,70,80,70,90,480,False
948,Toedscool,ground,grass,9,330,40,40,35,50,100,70,335,False
949,Toedscruel,ground,grass,19,580,80,70,65,80,120,100,515,False
950,Klawf,rock,None,13,790,70,100,115,35,55,75,450,False
951,Capsakid,grass,None,3,30,50,62,40,62,40,50,304,False
952,Scovillain,grass,fire,9,150,65,108,65,108,65,75,486,False
953,Rellor,bug,None,2,10,41,50,60,31,58,30,270,False
954,Rabsca,bug,psychic,3,35,75,50,85,115,100,45,470,False
955,Flittle,psychic,None,2,15,30,35,30,55,30,75,255,False
956,Espathra,psychic,None,19,900,95,60,60,101,60,105,481,False
957,Tinkatink,fairy,steel,4,89,50,45,45,35,64,58,297,False
958,Tinkatuff,fairy,steel,7,591,65,55,55,45,82,78,380,False
959,Tinkaton,fairy,steel,7,1128,85,75,77,70,105,94,506,False
960,Wiglett,water,None,12,18,10,55,25,35,25,95,245,False
961,Wugtrio,water,None,12,54,35,100,50,50,70,120,425,False
962,Bombirdier,flying,dark,15,429,70,103,85,60,85,82,485,False
963,Finizen,water,None,13,602,70,45,40,45,40,75,315,False
964,Palafin-Zero,water,None,13,602,100,70,72,53,62,100,457,False
965,Varoom,steel,poison,10,350,45,70,63,30,45,47,300,False
966,Revavroom,steel,poison,18,1200,80,119,90,54,67,90,500,False
967,Cyclizar,dragon,normal,16,630,70,95,65,85,65,121,501,False
968,Orthworm,steel,None,25,3100,70,85,145,60,55,65,480,False
969,Glimmet,rock,poison,7,80,48,35,42,105,60,60,350,False
970,Glimmora,rock,poison,15,450,83,55,90,130,81,86,525,False
971,Greavard,ghost,None,6,350,50,61,60,30,55,34,290,False
972,Houndstone,ghost,None,20,150,72,101,100,50,97,68,488,False
973,Flamigo,flying,fighting,16,370,82,115,74,75,64,90,500,False
974,Cetoddle,ice,None,12,450,108,68,45,30,40,43,334,False
975,Cetitan,ice,None,45,7000,170,113,65,45,55,73,521,False
976,Veluza,water,psychic,25,900,90,102,73,78,65,70,478,False
977,Dondozo,water,None,120,2200,150,100,115,65,65,35,530,False
978,Tatsugiri-Curly,dragon,water,3,80,68,50,60,120,95,82,475,False
979,Annihilape,fighting,ghost,12,560,110,115,80,50,90,90,535,False
980,Clodsire,poison,ground,18,2230,130,75,60,45,100,20,430,False
981,Farigiraf,normal,psychic,32,1600,120,90,70,110,70,60,520,False
982,Dudunsparce-Two-Segment,normal,None,36,392,125,100,80,85,75,55,520,False
983,Kingambit,dark,steel,20,1200,100,135,120,60,85,50,550,False
984,Great-Tusk,ground,fighting,22,3200,115,131,131,53,53,87,570,False
985,Scream-Tail,fairy,psychic,12,80,115,65,99,65,115,111,570,False
986,Brute-Bonnet,grass,dark,12,210,111,127,99,79,99,55,570,False
987,Flutter-Mane,ghost,fairy,14,40,55,55,55,135,135,135,570,False
988,Slither-Wing,bug,fighting,32,920,85,135,79,85,105,81,570,False
989,Sandy-Shocks,electric,ground,23,600,85,81,97,121,85,101,570,False
990,Iron-Treads,ground,steel,9,2400,90,112,120,72,70,106,570,False
991,Iron-Bundle,ice,water,6,110,56,80,114,124,60,136,570,False
992,Iron-Hands,fighting,electric,18,3807,154,140,108,50,68,50,570,False
993,Iron-Jugulis,dark,flying,13,1110,94,80,86,122,80,108,570,False
994,Iron-Moth,fire,poison,12,360,80,70,60,140,110,110,570,False
995,Iron-Thorns,rock,electric,16,3030,100,134,110,70,84,72,570,False
996,Frigibax,dragon,ice,5,170,65,75,45,35,45,55,320,False
997,Arctibax,dragon,ice,8,300,90,95,66,45,65,62,423,False
998,Baxcalibur,dragon,ice,21,2100,115,145,92,75,86,87,600,False
999,Gimmighoul,ghost,None,3,50,45,30,70,75,70,10,300,False
1000,Gholdengo,steel,ghost,12,300,87,60,95,133,91,84,550,False
1001,Wo-Chien,dark,grass,15,742,85,85,100,95,135,70,570,True
1002,Chien-Pao,dark,ice,19,1522,80,120,80,90,65,135,570,True
1003,Ting-Lu,dark,ground,27,6997,155,110,125,55,80,45,570,True
1004,Chi-Yu,dark,fire,4,49,55,80,80,135,120,100,570,True
1005,Roaring-Moon,dragon,dark,20,3800,105,139,71,55,101,119,590,False
1006,Iron-Valiant,fairy,fighting,14,350,74,130,90,120,60,116,590,False
1007,Koraidon,fighting,dragon,25,3030,100,135,115,85,100,135,670,True
1008,Miraidon,electric,dragon,35,2400,100,85,100,135,115,135,670,True
1009,Walking-Wake,water,dragon,35,2800,99,83,91,125,83,109,590,False
1010,Iron-Leaves,grass,psychic,15,1250,90,130,88,70,108,104,590,False
1011,Dipplin,grass,dragon,4,97,80,80,110,95,80,40,485,False
1012,Poltchageist,grass,ghost,1,11,40,45,45,74,54,50,308,False
1013,Sinistcha,grass,ghost,2,22,71,60,106,121,80,70,508,False
1014,Okidogi,poison,fighting,18,922,88,128,115,58,86,80,555,True
1015,Munkidori,poison,psychic,10,122,88,75,66,130,90,106,555,True
1016,Fezandipiti,poison,fairy,14,301,88,91,82,70,125,99,555,True
1017,Ogerpon,grass,None,12,398,80,120,84,60,96,110,550,True
1018,Archaludon,steel,dragon,20,600,90,105,130,125,65,85,600,False
1019,Hydrapple,grass,dragon,18,930,106,80,110,120,80,44,540,False
1020,Gouging-Fire,fire,dragon,35,5900,105,115,121,65,93,91,590,False
1021,Raging-Bolt,electric,dragon,52,4800,125,73,91,137,89,75,590,False
1022,Iron-Boulder,rock,psychic,15,1625,90,120,80,68,108,124,590,False
1023,Iron-Crown,steel,psychic,16,1560,90,72,100,122,108,98,590,False
1024,Terapagos,normal,None,2,65,90,65,85,65,85,60,450,True
1025,Pecharunt,poison,ghost,3,3,88,88,160,88,88,88,600,True
